,AuthoDisplayName,CommentID,LikeCount,TotalReplyCount,canReplay,publishedAt,textDisplay,textOriginal,sexe,sentiments
54,biscuitsalive,UgyOy25OQprifwtenhd4AaABAg,1,0,True,2018-01-27T01:01:49.000Z,I don’t get why he uses such fast shutter speeds. The shots look great but the jerky motion of the fast shutter really doesn’t look good to me.,I don’t get why he uses such fast shutter speeds. The shots look great but the jerky motion of the fast shutter really doesn’t look good to me.,female,positive
55,TimmyCat 3,UgyLV4Xp-xQxLoflRgN4AaABAg,0,0,True,2018-01-27T00:50:24.000Z,Please do a video on your Canon 800mm! That would be such a cool video!,Please do a video on your Canon 800mm! That would be such a cool video!,male,positive
56,Veronika Høyer,Ugx082Am6apUgo9xsmx4AaABAg,0,0,True,2018-01-27T00:37:01.000Z,"Could you please make a video going more in depth of using aperture to get blurred (ex. Cinematics) and &quot;full&quot; focus (ex. Theatrical play, where you want everyone to be focused) on subjects? Thanks, really appreciate the things you make Devin!","Could you please make a video going more in depth of using aperture to get blurred (ex. Cinematics) and ""full"" focus (ex. Theatrical play, where you want everyone to be focused) on subjects? Thanks, really appreciate the things you make Devin!",female,positive
57,TONYLOUISVISION & VIDEOGRAPHY PLUS,UgwomkitiD0My6CEj494AaABAg,0,0,True,2018-01-27T00:33:32.000Z,MTF IS A TOY COMPARED TO THE RED DRAGON LOL,MTF IS A TOY COMPARED TO THE RED DRAGON LOL,male,positive
58,TONYLOUISVISION & VIDEOGRAPHY PLUS,Ugzu0d9AjVXwlp3n43F4AaABAg,0,0,True,2018-01-27T00:32:55.000Z,AWESOME LENS!  HAVE YOU EVER USED ANY PANASONINC GH2&#39;S TO GH5&#39;S WITH VOIGTLANDER LENSES? WOULD YOU EVER USE MTF?,AWESOME LENS!  HAVE YOU EVER USED ANY PANASONINC GH2'S TO GH5'S WITH VOIGTLANDER LENSES? WOULD YOU EVER USE MTF?,male,positive
59,Zylonn,UgykHTXev6OQ_Q3hHqd4AaABAg,0,1,True,2018-01-27T00:20:32.000Z,Hey devin im looking at the canon L series 24-70mm lens cant remember f stop but costs around 600 pounds would love to hear your views on it as i only use a kit lens on my 700d,Hey devin im looking at the canon L series 24-70mm lens cant remember f stop but costs around 600 pounds would love to hear your views on it as i only use a kit lens on my 700d,male,positive
60,Aaron Van Domelen,UgwfDF5W_HCmsJthG6F4AaABAg,2,0,True,2018-01-27T00:04:03.000Z,"When shooting on S35 size lens the Tokina 11-16mm (designed for that sensor size) is a much better buy at $700 bucks and it’s an F2.8 + you can filters! Good luck shooting outdoors at f2.8 without ND,  ND you have to buy specially designed for the rear of the lens.  If shooting full frame this lens is a beast,  but S35 there are many more options to consider.","When shooting on S35 size lens the Tokina 11-16mm (designed for that sensor size) is a much better buy at $700 bucks and it’s an F2.8 + you can filters! Good luck shooting outdoors at f2.8 without ND,  ND you have to buy specially designed for the rear of the lens.  If shooting full frame this lens is a beast,  but S35 there are many more options to consider.",male,positive
61,JoshuaStokesFilms,UgxbTLXzn_-bx-CNxQF4AaABAg,0,2,True,2018-01-26T23:54:14.000Z,"Can someone please send me a link to the video at <a href=""https://www.youtube.com/watch?v=o5-whO3MBy4&amp;t=1m32s"">1:32</a> and <a href=""https://www.youtube.com/watch?v=o5-whO3MBy4&amp;t=3m45s"">3:45</a>? That’s my high school El Camino High School. I’d love to show the original to my friends",Can someone please send me a link to the video at 1:32 and 3:45? That’s my high school El Camino High School. I’d love to show the original to my friends,male,positive
62,Parallel Pictures,UgzuQl4wDU3TdeeLz1R4AaABAg,2,0,True,2018-01-26T23:42:43.000Z,Have you guys ever had issues traveling with such expensive equipment? I would be so scared to travel with all that gear!,Have you guys ever had issues traveling with such expensive equipment? I would be so scared to travel with all that gear!,neutral,negative
63,FOX TROT,UgzUJS9Vj-bVLAgZMoF4AaABAg,0,4,True,2018-01-26T23:39:57.000Z,Have you ever thought about opening a film school? Also. You are my inspiration for signing up for the BTEC LEVEL 3 EXTENDED DIPLOMA IN CREATIVE DIGITAL MEDIA PRODUCTION (TV AND FILM) at college.,Have you ever thought about opening a film school? Also. You are my inspiration for signing up for the BTEC LEVEL 3 EXTENDED DIPLOMA IN CREATIVE DIGITAL MEDIA PRODUCTION (TV AND FILM) at college.,male,positive
64,Phil Falkenberg,UgxRhfc94x6z-XlGxCJ4AaABAg,0,0,True,2018-01-26T23:30:35.000Z,Love these videos!,Love these videos!,male,positive
65,Sam Lucas,UgwqTPmIXoTwlqlhhUN4AaABAg,1,0,True,2018-01-26T23:22:02.000Z,"That 11-24 is a monster! I&#39;m a Nikon shooter (I know pretty uncommon for video, but the dynamic range is soooo good on full frame Nikon&#39;s). But I&#39;m having a lot of trouble not switching with these lenses that Canon is dropping. You can definitely tell they have a much stronger emphasis on the video maker, and it&#39;s tempting lol","That 11-24 is a monster! I'm a Nikon shooter (I know pretty uncommon for video, but the dynamic range is soooo good on full frame Nikon's). But I'm having a lot of trouble not switching with these lenses that Canon is dropping. You can definitely tell they have a much stronger emphasis on the video maker, and it's tempting lol",male,positive
66,Vibrant Films Pro,UgxfMN9NbsQSDQoK2W14AaABAg,0,0,True,2018-01-26T23:19:18.000Z,"I was sure it was going to be about the 16-35mm, i feel betrayed 😭😥😂🎥","I was sure it was going to be about the 16-35mm, i feel betrayed 😭😥😂🎥",male,positive
67,Anthony Dion,UgwcYJkkegTpa2aj1pZ4AaABAg,0,0,True,2018-01-26T23:18:05.000Z,"Hi Devin, a tutorial on cleaning your camera sensor would be awesome!","Hi Devin, a tutorial on cleaning your camera sensor would be awesome!",male,positive
